wav,spk_id,prediction,reference
TORGO/MC01/Session2/wav_arrayMic/0255.wav,MC01,chair,chair
TORGO/MC01/Session2/wav_arrayMic/0180.wav,MC01,fed,fed
TORGO/MC01/Session2/wav_arrayMic/0303.wav,MC01,dead,dead
TORGO/MC01/Session2/wav_arrayMic/0197.wav,MC01,eat,eat
TORGO/MC01/Session2/wav_arrayMic/0062.wav,MC01,wicker,wicker
TORGO/MC01/Session2/wav_arrayMic/0319.wav,MC01,lee,lee
TORGO/MC01/Session2/wav_arrayMic/0071.wav,MC01,i'm willing to experiment for the first time,i'm willing to experiment for the first time
TORGO/MC01/Session2/wav_arrayMic/0008.wav,MC01,lick,lick
TORGO/MC01/Session2/wav_arrayMic/0010.wav,MC01,nothing has been done yet to take advantage of the enabling legislation,nothing has been done yet to take advantage of the enabling legislation
TORGO/MC01/Session2/wav_arrayMic/0170.wav,MC01,and,and
TORGO/MC01/Session2/wav_arrayMic/0110.wav,MC01,he really crucified him he nailed it for a yard loss,he really crucified him he nailed it for a yard loss
TORGO/MC01/Session2/wav_arrayMic/0123.wav,MC01,a pair of shoes was new,the pair of shoes was new
TORGO/MC01/Session2/wav_arrayMic/0317.wav,MC01,select,select
TORGO/MC01/Session2/wav_arrayMic/0309.wav,MC01,rise,rise
TORGO/MC01/Session2/wav_arrayMic/0234.wav,MC01,yes,yes
TORGO/MC01/Session2/wav_arrayMic/0184.wav,MC01,tug,tug
TORGO/MC01/Session2/wav_arrayMic/0217.wav,MC01,wise,wise
TORGO/MC01/Session2/wav_arrayMic/0362.wav,MC01,cote,coat
TORGO/MC01/Session2/wav_arrayMic/0300.wav,MC01,four,four
TORGO/MC01/Session2/wav_arrayMic/0347.wav,MC01,reap,reap
TORGO/MC01/Session2/wav_arrayMic/0244.wav,MC01,toe,toe
TORGO/MC01/Session2/wav_arrayMic/0127.wav,MC01,singh,sing
TORGO/MC01/Session2/wav_arrayMic/0222.wav,MC01,barb's gold bracelet with a graduation present,barb's gold bracelet was a graduation present
TORGO/MC01/Session2/wav_arrayMic/0107.wav,MC01,not,knot
TORGO/MC01/Session2/wav_arrayMic/0045.wav,MC01,i expect we'll bounce back this week,i expect we'll bounce back this week
TORGO/MC01/Session2/wav_arrayMic/0132.wav,MC01,then we'd really have some place to go,then we'd really have someplace to go
TORGO/MC01/Session2/wav_arrayMic/0145.wav,MC01,tango,tango
TORGO/MC01/Session2/wav_arrayMic/0281.wav,MC01,yes,geese
TORGO/MC01/Session2/wav_arrayMic/0194.wav,MC01,so,sew
TORGO/MC01/Session2/wav_arrayMic/0082.wav,MC01,ten,tin
TORGO/MC01/Session2/wav_arrayMic/0210.wav,MC01,giz,geese
TORGO/MC01/Session2/wav_arrayMic/0040.wav,MC01,dart,dart
TORGO/MC01/Session2/wav_arrayMic/0212.wav,MC01,fort,fort
TORGO/MC01/Session2/wav_arrayMic/0103.wav,MC01,four,four
TORGO/MC01/Session2/wav_arrayMic/0076.wav,MC01,ticker,ticker
TORGO/MC01/Session2/wav_arrayMic/0020.wav,MC01,heating,pitting
TORGO/MC01/Session2/wav_arrayMic/0117.wav,MC01,you want him to do well,you want him to do well
TORGO/MC01/Session2/wav_arrayMic/0033.wav,MC01,cart,cart
TORGO/MC01/Session2/wav_arrayMic/0286.wav,MC01,she doesn't like to have it hanging around,she doesn't like to have it hanging around
TORGO/MC01/Session2/wav_arrayMic/0205.wav,MC01,bill,bill
TORGO/MC01/Session2/wav_arrayMic/0199.wav,MC01,court,quart
TORGO/MC01/Session2/wav_arrayMic/0181.wav,MC01,night,night
TORGO/MC01/Session2/wav_arrayMic/0355.wav,MC01,it was very popular with our fans,it was very popular with our fans
TORGO/MC01/Session2/wav_arrayMic/0209.wav,MC01,young people participate in athletic activities,young people participate in athletic activities
TORGO/MC01/Session2/wav_arrayMic/0152.wav,MC01,sicker,sicker
TORGO/MC01/Session2/wav_arrayMic/0354.wav,MC01,three,three
TORGO/MC01/Session2/wav_arrayMic/0274.wav,MC01,pork,fork
TORGO/MC01/Session2/wav_arrayMic/0248.wav,MC01,rake,rake
TORGO/MC01/Session2/wav_arrayMic/0312.wav,MC01,there is definitely some ligament damage in his knee,there is definitely some ligament damage in his knee
TORGO/MC01/Session2/wav_arrayMic/0007.wav,MC01,city,city
TORGO/MC01/Session2/wav_arrayMic/0024.wav,MC01,carl lives in a lively home,carl lives in a lively home
TORGO/MC01/Session2/wav_arrayMic/0051.wav,MC01,hitting,hitting
TORGO/MC01/Session2/wav_arrayMic/0216.wav,MC01,weep,weep
TORGO/MC01/Session2/wav_arrayMic/0111.wav,MC01,please open the window quickly,please open the window quickly
TORGO/MC01/Session2/wav_arrayMic/0338.wav,MC01,beat,feet
TORGO/MC01/Session2/wav_arrayMic/0131.wav,MC01,sit,sit
TORGO/MC01/Session2/wav_arrayMic/0043.wav,MC01,brawn,brawn
TORGO/MC01/Session2/wav_arrayMic/0160.wav,MC01,walk,walk
TORGO/MC01/Session2/wav_arrayMic/0004.wav,MC01,park,hark
TORGO/MC01/Session2/wav_arrayMic/0305.wav,MC01,only the most accomplished artists obtained popularity,only the most accomplished artists obtain popularity
TORGO/MC01/Session2/wav_arrayMic/0344.wav,MC01,they will take a wedding trip later,they will take a wedding trip later
TORGO/MC01/Session2/wav_arrayMic/0172.wav,MC01,i've kept it with me ever since,i've kept it with me ever since
TORGO/MC01/Session2/wav_arrayMic/0013.wav,MC01,league,league
TORGO/MC01/Session2/wav_arrayMic/0003.wav,MC01,him,him
TORGO/MC01/Session2/wav_arrayMic/0092.wav,MC01,shoot,shoot
TORGO/MC01/Session2/wav_arrayMic/0202.wav,MC01,sort,sort
TORGO/MC01/Session2/wav_arrayMic/0260.wav,MC01,yes,gas
TORGO/MC01/Session2/wav_arrayMic/0237.wav,MC01,trespassers can be prosecuted and fined,trespassers can be prosecuted and fined
TORGO/MC01/Session2/wav_arrayMic/0169.wav,MC01,hand,hand
TORGO/MC01/Session2/wav_arrayMic/0266.wav,MC01,there was only one decision to be made,there was only one decision to be made
TORGO/MC01/Session2/wav_arrayMic/0226.wav,MC01,doug,dug
TORGO/MC01/Session2/wav_arrayMic/0357.wav,MC01,mom strongly dislikes appetizers,mom strongly dislikes appetizers
TORGO/MC01/Session2/wav_arrayMic/0135.wav,MC01,glitter,glitter
TORGO/MC01/Session2/wav_arrayMic/0316.wav,MC01,red,red
TORGO/MC01/Session2/wav_arrayMic/0342.wav,MC01,seven,seven
TORGO/MC01/Session2/wav_arrayMic/0006.wav,MC01,night after night they received annoying phone calls,night after night they received annoying phone calls
TORGO/MC01/Session2/wav_arrayMic/0119.wav,MC01,dread,dread
TORGO/MC01/Session2/wav_arrayMic/0023.wav,MC01,pretty,pretty
TORGO/MC01/Session2/wav_arrayMic/0315.wav,MC01,reed,read
TORGO/MC01/Session2/wav_arrayMic/0105.wav,MC01,whit,wit
TORGO/MC01/Session2/wav_arrayMic/0254.wav,MC01,code,coat
TORGO/MC01/Session2/wav_arrayMic/0061.wav,MC01,yes,yes
TORGO/MC01/Session2/wav_arrayMic/0225.wav,MC01,forward,forward
TORGO/MC01/Session2/wav_arrayMic/0186.wav,MC01,heat,heat
TORGO/MC01/Session2/wav_arrayMic/0066.wav,MC01,this is a good place though small,this is a good place though small
TORGO/MC01/Session2/wav_arrayMic/0240.wav,MC01,air,air
TORGO/MC01/Session2/wav_arrayMic/0158.wav,MC01,clicker,flicker
TORGO/MC01/Session2/wav_arrayMic/0243.wav,MC01,in fact our whole defensive unit did a good job,in fact our whole defensive unit did a good job
TORGO/MC01/Session2/wav_arrayMic/0164.wav,MC01,liquor,liquor
TORGO/MC01/Session2/wav_arrayMic/0093.wav,MC01,ship,ship
TORGO/MC01/Session2/wav_arrayMic/0086.wav,MC01,it's fun to roast marshmallows on a gas burner,it's fun to roast marshmallows on a gas burner
TORGO/MC01/Session2/wav_arrayMic/0290.wav,MC01,bill,bill
TORGO/MC01/Session2/wav_arrayMic/0327.wav,MC01,member,member
TORGO/MC01/Session2/wav_arrayMic/0340.wav,MC01,giz,geese
TORGO/MC01/Session2/wav_arrayMic/0031.wav,MC01,five,five
TORGO/MC01/Session2/wav_arrayMic/0112.wav,MC01,he took me out one day,he took me out one day
TORGO/MC01/Session2/wav_arrayMic/0085.wav,MC01,and,ham
TORGO/MC01/Session2/wav_arrayMic/0330.wav,MC01,zero,zero
TORGO/MC01/Session2/wav_arrayMic/0304.wav,MC01,cash,cash
TORGO/MC01/Session2/wav_arrayMic/0313.wav,MC01,don't do charlie's dirty dishes,don't do charlie's dirty dishes
TORGO/MC01/Session2/wav_arrayMic/0283.wav,MC01,snort,snort
TORGO/MC01/Session2/wav_arrayMic/0285.wav,MC01,that's what life is really all about,that's what life is really all about
TORGO/MC01/Session2/wav_arrayMic/0153.wav,MC01,not,knot
TORGO/MC01/Session2/wav_arrayMic/0337.wav,MC01,eight,eight
TORGO/MC01/Session2/wav_arrayMic/0265.wav,MC01,critical equipment needs proper maintenance,critical equipment needs proper maintenance
TORGO/MC01/Session2/wav_arrayMic/0014.wav,MC01,we rode horseback to the farm,we rode horseback to the farm
TORGO/MC01/Session2/wav_arrayMic/0125.wav,MC01,lock,lock
TORGO/MC01/Session2/wav_arrayMic/0091.wav,MC01,help greg to pick a pack of potatoes,help greg to pick a peck of potatoes
TORGO/MC01/Session2/wav_arrayMic/0048.wav,MC01,kitten,kitten
TORGO/MC01/Session2/wav_arrayMic/0039.wav,MC01,this is a period of transition for me,this is a period of transition for me
TORGO/MC01/Session2/wav_arrayMic/0235.wav,MC01,cheer,cheer
TORGO/MC01/Session2/wav_arrayMic/0025.wav,MC01,this is not a program of socialized medicine,this is not a program of socialized medicine
TORGO/MC01/Session2/wav_arrayMic/0146.wav,MC01,him,him
TORGO/MC01/Session2/wav_arrayMic/0084.wav,MC01,nod,nod
TORGO/MC01/Session2/wav_arrayMic/0011.wav,MC01,bit,bit
TORGO/MC01/Session2/wav_arrayMic/0096.wav,MC01,only lawyers love millionaires,only lawyers love millionaires
TORGO/MC01/Session2/wav_arrayMic/0267.wav,MC01,side,side
TORGO/MC01/Session2/wav_arrayMic/0236.wav,MC01,the fish swam across the pond,the fish swam across the pond
TORGO/MC01/Session2/wav_arrayMic/0218.wav,MC01,red,dread
TORGO/MC01/Session2/wav_arrayMic/0261.wav,MC01,suddenly my reflexes are gone,suddenly my reflexes are gone
TORGO/MC01/Session2/wav_arrayMic/0002.wav,MC01,much,much
TORGO/MC01/Session2/wav_arrayMic/0271.wav,MC01,right,write
TORGO/MC01/Session2/wav_arrayMic/0138.wav,MC01,bread,bread
TORGO/MC01/Session2/wav_arrayMic/0168.wav,MC01,yankee,yankee
TORGO/MC01/Session2/wav_arrayMic/0318.wav,MC01,goat,goat
TORGO/MC01/Session2/wav_arrayMic/0320.wav,MC01,tack,back
TORGO/MC01/Session2/wav_arrayMic/0203.wav,MC01,shane,shin
TORGO/MC01/Session2/wav_arrayMic/0233.wav,MC01,yes,yes
TORGO/MC01/Session2/wav_arrayMic/0087.wav,MC01,cress,dress
TORGO/MC01/Session2/wav_arrayMic/0030.wav,MC01,both injuries were to the same leg,both injuries were to the same leg
TORGO/MC01/Session2/wav_arrayMic/0297.wav,MC01,cork,cork
TORGO/MC01/Session2/wav_arrayMic/0029.wav,MC01,parsed,part
TORGO/MC01/Session2/wav_arrayMic/0147.wav,MC01,said,said
TORGO/MC01/Session2/wav_arrayMic/0239.wav,MC01,ship,ship
TORGO/MC01/Session2/wav_arrayMic/0081.wav,MC01,the hotel owner shrugged,the hotel owner shrugged
TORGO/MC01/Session2/wav_arrayMic/0227.wav,MC01,c,see
TORGO/MC01/Session2/wav_arrayMic/0032.wav,MC01,fitting,fitting
TORGO/MC01/Session2/wav_arrayMic/0207.wav,MC01,rake,rake
TORGO/MC01/Session2/wav_arrayMic/0038.wav,MC01,this is a period of transition for me,this is a period of transition for me
TORGO/MC01/Session2/wav_arrayMic/0182.wav,MC01,bill,bill
TORGO/MC01/Session2/wav_arrayMic/0245.wav,MC01,oh,old
TORGO/MC01/Session2/wav_arrayMic/0151.wav,MC01,he is definitely a nudge above us,he is definitely a notch above us
TORGO/MC01/Session2/wav_arrayMic/0088.wav,MC01,you can ride stage coach,you can ride stagecoach
TORGO/MC01/Session2/wav_arrayMic/0329.wav,MC01,four,four
TORGO/MC01/Session2/wav_arrayMic/0324.wav,MC01,i loved every minute of it,i loved every minute of it
TORGO/MC01/Session2/wav_arrayMic/0069.wav,MC01,uniform,uniform
TORGO/MC01/Session2/wav_arrayMic/0325.wav,MC01,we have a big house,we have a big house
TORGO/MC01/Session2/wav_arrayMic/0326.wav,MC01,six,six
TORGO/MC01/Session2/wav_arrayMic/0242.wav,MC01,shoot,shoot
TORGO/MC01/Session2/wav_arrayMic/0167.wav,MC01,we bought a brown chair,we bought a brown chair
TORGO/MC01/Session2/wav_arrayMic/0198.wav,MC01,bend,bend
TORGO/MC01/Session2/wav_arrayMic/0177.wav,MC01,z,said
TORGO/MC01/Session2/wav_arrayMic/0036.wav,MC01,bloat,bloat
TORGO/MC01/Session2/wav_arrayMic/0332.wav,MC01,sender,sender
TORGO/MC01/Session2/wav_arrayMic/0306.wav,MC01,court,court
TORGO/MC01/Session2/wav_arrayMic/0295.wav,MC01,help celebrate your brother's success,help celebrate your brother's success
